Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
EqByteString/ExMemory 4/ExMemory 16384,1.5044797395910795e-6,1.4868896035496672e-6,1.536077029957103e-6,7.819341583382645e-8,4.6336600368497314e-8,1.1383964319886578e-7
EqByteString/ExMemory 4/ExMemory 32768,1.5188227872968407e-6,1.5031280008542647e-6,1.5420676412773898e-6,6.352185725379474e-8,3.715393873282918e-8,9.68985526791644e-8
EqByteString/ExMemory 4/ExMemory 65536,1.5007711833414738e-6,1.4843139875956e-6,1.5318503048298954e-6,7.520673007442084e-8,3.487692550849457e-8,1.2335847018599025e-7
EqByteString/ExMemory 4/ExMemory 131072,1.5020274718064707e-6,1.4897663469740805e-6,1.5185300022806844e-6,4.766662777917219e-8,3.109513306203442e-8,6.252790567816843e-8
EqByteString/ExMemory 8/ExMemory 0,1.5599271882706258e-6,1.4979987232094238e-6,1.7795935604232012e-6,3.671416842489406e-7,6.316767768369137e-8,7.71436474975722e-7
EqByteString/ExMemory 8/ExMemory 0,1.5089342188929317e-6,1.4937519442399589e-6,1.5416555686401148e-6,6.958403185943394e-8,4.409301065539556e-8,1.1502506206051317e-7
EqByteString/ExMemory 8/ExMemory 1,1.5716195349583793e-6,1.5064990822433318e-6,1.7868048128829144e-6,3.5307192898029275e-7,6.923536477899108e-8,7.413181774447905e-7
EqByteString/ExMemory 8/ExMemory 2,1.5238641646003106e-6,1.4991574352181805e-6,1.5658740466028234e-6,1.0666222401931666e-7,7.817181199563188e-8,1.3643891693024428e-7
EqByteString/ExMemory 8/ExMemory 4,1.5835617410438896e-6,1.5400421256057735e-6,1.6283425005671918e-6,1.4189748116659273e-7,1.2239215319644722e-7,1.6262569052968263e-7
EqByteString/ExMemory 8/ExMemory 8,1.541289794567481e-6,1.500844377425572e-6,1.6687835150596716e-6,2.341691852477298e-7,5.089268739713363e-8,4.432161879105728e-7
EqByteString/ExMemory 8/ExMemory 16,1.5458226004052647e-6,1.5095290034151982e-6,1.5881931322784256e-6,1.2865469214536992e-7,9.825425310251512e-8,1.571077846137506e-7
EqByteString/ExMemory 8/ExMemory 32,1.5282176288779626e-6,1.5024697788555305e-6,1.5619248507423722e-6,1.0035624948858416e-7,7.600656769967738e-8,1.3314535651412545e-7
EqByteString/ExMemory 8/ExMemory 64,1.5131514408563971e-6,1.4870880730057274e-6,1.5601041779703039e-6,1.1446858170130487e-7,6.242362747942514e-8,1.7121317948300267e-7
EqByteString/ExMemory 8/ExMemory 128,1.5488104422063119e-6,1.479313957121091e-6,1.743833852438293e-6,4.123187189963235e-7,4.180695638213346e-8,7.921311793222676e-7
EqByteString/ExMemory 8/ExMemory 256,1.509817999333519e-6,1.4912451754265142e-6,1.5555595163043905e-6,8.738670605121981e-8,6.140794748888817e-8,1.2755623357289542e-7
EqByteString/ExMemory 8/ExMemory 512,1.5115001819806926e-6,1.4926322620834747e-6,1.5415036654815832e-6,8.166845938642899e-8,5.75696137213642e-8,1.0933646771354624e-7
EqByteString/ExMemory 8/ExMemory 1024,1.54266983523894e-6,1.489813133011661e-6,1.7348889053545697e-6,3.141731078843812e-7,4.476960039552958e-8,6.620041209669332e-7
EqByteString/ExMemory 8/ExMemory 2048,1.5721208814696056e-6,1.5375661478000023e-6,1.6074581349511774e-6,1.1755827185963229e-7,1.03628701206603e-7,1.3076079967539204e-7
EqByteString/ExMemory 8/ExMemory 4096,1.5501580922598964e-6,1.4982492296847297e-6,1.7325746133292585e-6,3.097875428870195e-7,5.0255546584408864e-8,6.544950538298292e-7
EqByteString/ExMemory 8/ExMemory 8192,1.5812341010283264e-6,1.5204487715087783e-6,1.8019827221951029e-6,3.302444446555905e-7,8.398876945877727e-8,6.718333357133891e-7
EqByteString/ExMemory 8/ExMemory 16384,1.5033589773250909e-6,1.492908462260382e-6,1.5204050534624517e-6,4.294593499795924e-8,2.7604355407768418e-8,6.618477270453603e-8
